book,genre
Magician's Guild,Fantasy
Novice,Fantasy
High Lord,Fantasy
Magician,Fantasy
Silverthorn,Fantasy
Darkness at Sethanon,Fantasy
Discovering Statistics Using R,Mathematics
Proofiness,Mathematics
Signal and the Noise,Mathematics
Mathematics of Life,Mathematics
In Pursuit of the Unknown,Mathematics
Hoard of Mathematical Treasures,Mathematics
Thinking in Numbers,Mathematics
Way of Shadows,Fantasy
Shadow's Edge,Fantasy
Beyond the Shadows,Fantasy
Black Prism,Fantasy
Blinding Knife,Fantasy
Broken Eye,Fantasy
Blood Mirror,Fantasy
Burning White,Fantasy