book,year,publisher
Magician's Guild,2001,Orbit
Novice,2002,Orbit
High Lord,2003,Orbit
Magician,1982,Doubleday
Silverthorn,1985,Doubleday
Darkness at Sethanon,1986,Doubleday
Discovering Statistics Using R,2012,Sage
Proofiness,2010,Penguin
Signal and the Noise,2012,Penguin
Mathematics of Life,2011,Basic Books
In Pursuit of the Unknown,2012,Basic Books
Hoard of Mathematical Treasures,2010,Basic Books
Thinking in Numbers,2012,Back Bay Books
Way of Shadows,2008,Orbit
Shadow's Edge,2008,Orbit
Beyond the Shadows,2008,Orbit
Black Prism,2010,Orbit
Blinding Knife,2012,Orbit
Broken Eye,2014,Orbit
Blood Mirror,2016,Orbit
Burning White,2019,Orbit